asset_slug,title,category,subcategory,status,owner,update_cadence,canonical_path,canonical_format,available_formats,metadata_paths,has_pmtiles,has_geojson,has_csv,last_updated,source,license,notes
marine-regions-eez,Marine Regions Exclusive Economic Zones,100-geographic-reference,120-marine-boundaries,active,SkyTruth,manual,gs://skytruth-shared-datasets-1/100-geographic-reference/120-marine-boundaries/marine-regions-eez/latest/marine-regions-eez.fgb,fgb,fgb;pmtiles,README.md,true,false,false,2026-04-29,Marine Regions EEZ v12,See Marine Regions terms,Initial upload from eez-mr_eez_v12.fgb; release 2026-04-29; sha256 b4f1d04cff66a75a4176734a02e2af994b7c55490b7b42cdcf7ba2d5c431f6b7; PMTiles sha256 34345c1e24ef99fe5c9be0b8a4f5b38b26a5e4b7411c6735002133e17105fea2
iho-world-seas,IHO World Seas,100-geographic-reference,120-marine-boundaries,active,SkyTruth,manual,gs://skytruth-shared-datasets-1/100-geographic-reference/120-marine-boundaries/iho-world-seas/latest/iho-world-seas.fgb,fgb,fgb;pmtiles,README.md,true,false,false,2026-04-29,Marine Regions World Seas IHO v3,See source terms,Initial upload from iho-mr_World_Seas_IHO_v3.fgb; release 2026-04-29; sha256 1fb5a7988b686e1076fe0a21d75d5df32fa28dfcd100dbe3db3aaaf8c9493ba6; PMTiles sha256 918f23c7e31977b411654fde409df0ab8adb76830d4abbc4c1d4083c328e90b0
natural-earth-10m-land,Natural Earth 10m Land,100-geographic-reference,110-boundaries,active,SkyTruth,manual,gs://skytruth-shared-datasets-1/100-geographic-reference/110-boundaries/natural-earth-10m-land/latest/natural-earth-10m-land.fgb,fgb,fgb;pmtiles,README.md,true,false,false,2026-04-30,Natural Earth 1:10m physical land polygons v5.1.1,Public domain per Natural Earth Terms of Use,Initial upload from local Natural Earth ne_10m_land shapefile version 5.1.1; release 2026-04-30; source features 11; fgb sha256 5e69cd50432794b6411a81d99faa1d1c74e9d778fbfd430e43e1c7adb4d9912a; pmtiles sha256 e395193e936fca420fcdc4139dcfedf3a4945ed5f7128a5194b16fdc5b936fcf; toolchain GDAL 3.6.2, Tippecanoe 2.79.0, PMTiles CLI 1.30.2 for validation; PMTiles generated with Tippecanoe zooms 0-6 and tile-simplify 0.01 for display; canonical FGB preserves source geometry and fields
wdpa-marine,WDPA Marine Protected and Conserved Areas,100-geographic-reference,130-protected-areas,active,SkyTruth,monthly,gs://skytruth-shared-datasets-1/100-geographic-reference/130-protected-areas/wdpa-marine/latest/wdpa-marine.fgb,fgb,fgb;pmtiles,README.md;runs/YYYY-MM-DD.json,true,false,false,2026-04-29,UNEP-WCMC and IUCN Protected Planet WDPA/WDOECM,See Protected Planet WDPA terms,Simplified monthly job preserves source fields and publishes FGB plus PMTiles
wdpa-terrestrial,WDPA Terrestrial Protected and Conserved Areas,100-geographic-reference,130-protected-areas,active,SkyTruth,monthly,gs://skytruth-shared-datasets-1/100-geographic-reference/130-protected-areas/wdpa-terrestrial/latest/wdpa-terrestrial.fgb,fgb,fgb;pmtiles,README.md;runs/YYYY-MM-DD.json,true,false,false,2026-04-29,UNEP-WCMC and IUCN Protected Planet WDPA/WDOECM,See Protected Planet WDPA terms,Simplified monthly job preserves source fields and publishes FGB plus PMTiles
ims-sea-ice-extent,IMS Sea-Ice Extent,200-imagery-derived,250-weather-climate,active,SkyTruth,daily,gs://skytruth-shared-datasets-1/200-imagery-derived/250-weather-climate/ims-sea-ice-extent/latest/ims-sea-ice-extent.fgb,fgb,fgb;pmtiles,README.md;runs/YYYY-MM-DD.json,true,false,false,2026-04-29,NOAA NSIDC IMS Daily Northern Hemisphere Snow and Ice Analysis G02156,Public U.S. government work; cite NSIDC G02156,Daily job publishes raw IMS class 3 as FGB plus PMTiles
petrodata,PETRODATA Petroleum Fields,300-infrastructure-industrial,310-energy,active,SkyTruth,manual,gs://skytruth-shared-datasets-1/300-infrastructure-industrial/310-energy/petrodata/latest/petrodata.fgb,fgb,fgb;pmtiles,README.md,true,false,false,2026-04-29,PRIO PETRODATA v1.2,No explicit license found on the PRIO dataset page; cite Lujala Rod and Thieme 2007,Combined local onshore and offshore shapefiles into one FGB plus PMTiles with source_layer; release 2026-04-29; fgb sha256 d77f5e4bdb9d231a9058e70c03648092a613c5009889d5f57e0ae05969950296; pmtiles sha256 2d45f6cc17553e62c39c4b76bce76f1f7dda594a3f8f16fe7075c8bdbcbb0044
eamlis-abandoned-mine-land-inventory,OSMRE e-AMLIS Abandoned Mine Land Inventory,300-infrastructure-industrial,320-mining,active,SkyTruth,"monthly, skipped when unchanged",gs://skytruth-shared-datasets-1/300-infrastructure-industrial/320-mining/eamlis-abandoned-mine-land-inventory/latest/eamlis-abandoned-mine-land-inventory.fgb,fgb,fgb;geojson,README.md;runs/YYYY-MM-DD.json,false,true,false,2026-04-30,U.S. DOI OSMRE e-AMLIS public ArcGIS hosted feature layer,Creative Commons Attribution per EDX listing; cite OSMRE e-AMLIS,Initial upload from supplied GeoJSON source accessed 2025-10-24; release 2026-04-30; source rows 62220; unique AMLIS_KEY 24062; fgb sha256 0da1ecfd89d5d981350dfb76416044659421e4af827dc9a980a2fc0c34696a01; source geojson sha256 0d039c14ac175926fc4000b9b3728c6bcf8e6021c6724119cba4e9d76b306643; embedded collection name says 2024-10-24; monthly Cloud Run job skips when source fingerprint and generated FGB hash are unchanged
gfw-fixed-infrastructure,Global Fishing Watch SAR Fixed Infrastructure,300-infrastructure-industrial,330-offshore-platforms,active,SkyTruth,manual,gs://skytruth-shared-datasets-1/300-infrastructure-industrial/330-offshore-platforms/gfw-fixed-infrastructure/latest/gfw-fixed-infrastructure.fgb,fgb,fgb;pmtiles,README.md,true,false,false,2026-04-30,Global Fishing Watch Datasets API public-fixed-infrastructure-filtered:latest,Global Fishing Watch API non-commercial use only subject to Global Fishing Watch Terms of Use,Initial upload from gfw_infra_2026-04-30; release 2026-04-30; source rows 57681; fgb sha256 159af982d72f464091c06e68de6abe054a5c07ae05ff4731c8cb041979fb3447; pmtiles sha256 85d5faf9d893b15dbc9abe30ecc548154da97a6f396dede2c6f1408137b0fbfd; source csv sha256 07d8d7464c7c2d7410926d2a29c24eb2d2aa2993c2b576a138ce0c57111cf1a9
global-coral-reefs,Global Distribution of Coral Reefs,500-conservation-ecosystems,530-habitat-condition,active,SkyTruth,manual,gs://skytruth-shared-datasets-1/500-conservation-ecosystems/530-habitat-condition/global-coral-reefs/latest/global-coral-reefs.fgb,fgb,fgb;pmtiles,README.md,true,false,false,2026-04-29,UNEP-WCMC WorldFish Centre WRI and TNC Global Distribution of Coral Reefs v4.1,UNEP-WCMC General Data License excluding WDPA; contextual internal use with citation only; no redistribution without permission,Converted local polygon and point shapefiles to FGB plus PMTiles with both layers; release 2026-04-29; polygon fgb sha256 387d9999983a2cf9916ce3d7d496c45319ed8196eccfe9b3d2e8622b82756869; point fgb sha256 a81fcf8264e397fe08cd2655ad580cf36da6fea6010e830b97947fb091bb8ccf; pmtiles sha256 02321121660212e551732b658c603be1f3754f1b54abd2056fd11353bf670612
